Year,BA_Math,BA_Informatica,BA_Physics_Astronomy,BA_AI,BA_NL,BA_EEA,BA_others,BAtoMA,MA_CS
2004,12,38,35,14,360,6,2,99,23
2005,36,84,48,37,631,3,2,191,42
2006,39,69,62,45,627,3,3,201,77
2007,19,21,21,4,237,4,1,60,57
2008,33,29,46,20,418,2,0,127,29
2009,42,48,72,22,690,3,2,182,42
2010,37,34,37,11,469,3,3,111,29
2011,50,41,38,14,520,5,2,114,43
2012,76,52,65,26,642,8,2,179,31
2013,70,79,63,12,643,6,3,165,41
2014,64,91,57,14,684,4,1,170,35
2015,96,110,83,22,919,3,7,225,46
2016,57,96,62,33,889,9,5,183,61
2017,82,120,65,33,961,11,3,229,50
2018,82,120,71,47,1020,14,6,248,78
2019,72,103,90,78,1046,6,4,234,70
