Year,BA_Math,BA_Informatica,BA_Physics_Astronomy,BA_AI,BA_NL,BA_EEA,BA_others,BAtoMA,MA_CS
2015,28,28,32,40,332,32,0,100,15
2016,32,32,54,44,311,34,0,134,50
2017,40,44,48,51,349,30,0,145,46
2018,39,44,45,56,387,31,3,140,59
2019,22,50,40,88,387,60,3,130,67
2015,24,20,54,33,453,12,1,92,5
2016,29,28,64,33,481,19,5,107,20
2017,38,46,72,57,489,54,17,129,28
2018,44,37,74,62,533,56,12,131,33
2019,49,54,84,63,536,69,30,109,31
2015,38,63,60,72,974,20,16,199,49
2016,27,95,81,100,1003,41,23,246,78
2017,45,111,106,89,1179,43,25,280,95
2018,75,188,134,138,1329,88,24,428,134
2019,63,173,133,146,1340,117,27,393,191
2015,38,58,30,37,560,3,0,104,25
2016,37,47,33,49,554,5,3,112,37
2017,37,54,41,43,611,6,1,144,57
2018,48,57,53,56,592,8,1,169,107
2019,34,59,67,109,628,5,3,186,77
2015,15,31,35,31,567,30,13,95,21
2016,16,27,48,37,632,20,7,115,42
2017,18,20,44,47,604,31,13,116,49
2018,20,22,48,54,616,41,17,134,50
2019,26,23,35,55,643,63,26,160,72
2015,52,66,111,67,1878,96,19,257,67
2016,69,144,129,79,1917,103,23,362,127
2017,76,116,134,69,2062,131,16,345,159
2018,84,139,169,80,2020,134,26,395,155
2019,107,168,168,90,2144,157,41,391,157
2015,33,41,19,39,459,6,7,95,21
2016,22,64,31,36,355,7,1,105,26
2017,37,52,23,45,422,6,2,113,38
2018,37,58,32,40,402,1,2,121,46
2019,42,63,54,48,502,7,4,138,80
2015,96,110,83,22,919,3,7,198,46
2016,57,96,62,33,889,9,5,138,61
2017,82,120,65,33,961,11,3,177,50
2018,82,120,71,47,1020,14,6,178,78
2019,72,103,90,78,1046,6,4,187,70
